,usaf,wban,name,country,state,call,lat,lon,elev,begin,end
0,720594,99999,HOUSTON/DUNN HELISTOP,US,TX,KMCJ,29.717,-95.383,+0069.0,20081022,20180521
1,720637,99999,HOUSTON SOUTHWEST AIRPORT,US,TX,KAXH,29.506,-95.477,+0020.7,20180101,20180515
2,722433,99999,WEST HOUSTON,US,TX,KIWS,29.818,-95.673,+0033.8,19850130,19851129
3,722435,12918,WILLIAM P HOBBY,US,TX,KHOU,29.638,-95.282,+0014.3,19730101,20100731
4,722435,99999,WILLIAM P HOBBY,US,TX,,29.633,-95.267,+0014.0,19460728,19700101
5,999999,12918,HOUSTON WILLIAM P HOBBY AP,US,TX,KHOU,29.638,-95.282,+0014.3,19480701,19690601
6,998181,99999,CLEAR LAKE,US,TX,,29.55,-95.067,+0010.0,20080115,20080913
7,999999,12960,HOUSTON INTERCONTINENTAL AP,US,TX,KIAH,29.98,-95.36,+0032.0,19690601,19721231
8,999999,12945,DOWNTOWN,US,TX,,29.767,-95.367,+0015.9,20020902,20031231
9,722436,99999,HOUSTON/ELLINGTON,US,TX,KEFD,29.6,-95.167,+0010.0,20000101,20041231
10,722427,99999,PEARLAND RGNL,US,TX,KLVJ,29.517,-95.25,+0013.0,20010706,20051231
11,722429,99999,HOUSTON/D.W. HOOKS,US,TX,KDWH,30.067,-95.55,+0046.0,19860916,20051231
12,722543,99999,SUGER LAND RGNL,US,TX,KSGR,29.617,-95.65,+0025.0,19970123,20051231
13,998481,99999,MANCHESTER,US,TX,,29.726,-95.266,+0010.0,20130101,20201006
14,720594,00188,HOUSTON DUNN HELISTOP,US,TX,KMCJ,29.717,-95.383,+0069.2,20090101,20201007
15,720637,00223,HOUSTON SOUTHWEST AIRPORT,US,TX,KAXH,29.5,-95.477,+0021.0,20090601,20201007
16,722427,12975,CLOVER FIELD AIRPORT,US,TX,KLVJ,29.519,-95.242,+0013.4,20060101,20201007
17,722429,53910,HOOKS MEMORIAL AIRPT,US,TX,KDWH,30.068,-95.556,+0046.3,20060101,20201007
18,722430,12960,G BUSH INTERCONTINENTAL AP/HO,US,TX,KIAH,29.98,-95.36,+0029.0,19730101,20201007
19,722436,12906,ELLINGTON FIELD AIRPORT,US,TX,KEFD,29.617,-95.167,+0009.8,19410701,20201007
20,722440,12918,WILLIAM P. HOBBY AIRPORT,US,TX,KHOU,29.638,-95.282,+0013.4,20050101,20201007
21,722543,12977,SUGAR LAND REGIONAL ARPT,US,TX,KSGR,29.622,-95.657,+0025.6,20060101,20201007
