Date,year,month,day,temp,dewp,slp,visib,wdsp,mxpsd,max,min,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tomorrow
1946-01-01,1946.0,1.0,1.0,52.9,42.2,1023.1,11.2,5.8,15.9,65.3,42.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-01-02,1946.0,1.0,2.0,61.3,52.9,1021.9,11.9,11.4,19.0,70.3,53.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-01-03,1946.0,1.0,3.0,65.2,60.3,1019.5,10.9,7.4,13.0,75.4,58.3,0.0,0.0,0.0,0.0,0.0,1.0
1946-01-04,1946.0,1.0,4.0,66.7,63.3,1016.5,9.0,13.1,21.0,74.3,63.3,0.0,1.0,0.0,0.0,0.0,1.0
1946-01-05,1946.0,1.0,5.0,63.1,53.1,1004.4,9.8,10.3,21.0,74.3,54.3,0.0,1.0,0.0,0.0,1.0,1.0
1946-01-06,1946.0,1.0,6.0,64.8,62.1,1003.3,5.5,6.8,15.0,77.4,55.4,1.0,1.0,0.0,0.0,0.0,1.0
1946-01-07,1946.0,1.0,7.0,65.4,65.3,1008.5,0.9,6.5,11.1,71.2,61.3,1.0,1.0,0.0,0.0,0.0,1.0
1946-01-08,1946.0,1.0,8.0,57.5,55.5,1009.1,5.0,8.0,15.0,62.4,51.3,1.0,1.0,0.0,0.0,1.0,0.0
1946-01-09,1946.0,1.0,9.0,53.3,44.8,1018.3,8.7,3.5,9.9,68.4,44.4,1.0,0.0,0.0,0.0,0.0,1.0
1946-01-10,1946.0,1.0,10.0,52.1,47.4,1021.1,9.5,9.6,14.0,58.3,46.4,0.0,1.0,0.0,0.0,1.0,1.0
1946-01-11,1946.0,1.0,11.0,52.1,46.6,1016.7,7.9,6.3,9.9,60.3,47.3,1.0,1.0,0.0,0.0,0.0,1.0
1946-01-12,1946.0,1.0,12.0,47.0,44.0,1024.8,9.7,6.6,11.1,52.3,43.3,0.0,1.0,0.0,0.0,0.0,1.0
1946-01-13,1946.0,1.0,13.0,44.8,42.3,1030.9,4.1,9.9,14.0,47.3,41.4,0.0,1.0,0.0,0.0,0.0,1.0
1946-01-14,1946.0,1.0,14.0,43.6,39.3,1021.9,5.9,9.8,13.0,46.4,41.4,1.0,1.0,0.0,0.0,0.0,1.0
1946-01-15,1946.0,1.0,15.0,42.5,41.2,1017.4,4.0,9.2,13.0,45.3,40.3,1.0,1.0,0.0,0.0,0.0,0.0
1946-01-16,1946.0,1.0,16.0,40.8,34.8,1026.5,9.5,7.7,13.0,48.4,36.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-01-17,1946.0,1.0,17.0,42.3,33.3,1030.1,8.0,3.7,8.0,58.3,32.4,1.0,0.0,0.0,0.0,0.0,0.0
1946-01-18,1946.0,1.0,18.0,46.9,40.4,1028.3,8.1,2.6,8.0,60.3,38.3,0.0,0.0,0.0,0.0,0.0,1.0
1946-01-19,1946.0,1.0,19.0,53.7,51.8,1016.6,6.1,4.5,9.9,64.4,45.3,1.0,1.0,0.0,0.0,0.0,0.0
1946-01-20,1946.0,1.0,20.0,55.4,50.7,1010.4,9.7,7.2,12.0,63.3,46.4,1.0,0.0,0.0,0.0,0.0,1.0
1946-01-21,1946.0,1.0,21.0,48.7,44.2,1018.1,8.2,7.2,14.0,52.3,45.3,1.0,1.0,0.0,0.0,0.0,1.0
1946-01-22,1946.0,1.0,22.0,42.8,31.8,1030.0,9.4,10.0,15.0,51.3,35.4,1.0,1.0,0.0,0.0,0.0,0.0
1946-01-23,1946.0,1.0,23.0,44.2,32.7,1026.8,12.0,4.6,8.0,60.3,33.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-01-24,1946.0,1.0,24.0,49.9,36.0,1029.0,7.7,6.4,11.1,59.4,40.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-01-25,1946.0,1.0,25.0,54.0,43.4,1022.0,10.1,8.1,16.9,71.2,41.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-01-26,1946.0,1.0,26.0,60.4,55.4,1014.2,9.2,8.2,14.0,70.3,51.3,1.0,0.0,0.0,0.0,0.0,0.0
1946-01-27,1946.0,1.0,27.0,44.3,28.3,1029.2,14.4,11.6,19.0,54.3,35.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-01-28,1946.0,1.0,28.0,46.0,34.4,1029.1,10.4,7.0,13.0,53.4,40.3,0.0,0.0,0.0,0.0,0.0,1.0
1946-01-29,1946.0,1.0,29.0,53.2,48.2,1022.1,5.8,10.7,15.0,58.3,48.4,1.0,1.0,0.0,0.0,1.0,1.0
1946-01-30,1946.0,1.0,30.0,57.2,56.5,1017.3,1.9,2.5,6.0,60.3,52.3,1.0,1.0,0.0,0.0,0.0,1.0
1946-01-31,1946.0,1.0,31.0,55.0,43.3,1021.7,9.4,9.9,16.9,60.3,49.3,1.0,1.0,0.0,0.0,0.0,0.0
1946-02-01,1946.0,2.0,1.0,47.3,34.3,1027.3,13.4,3.9,8.0,56.3,40.3,0.0,0.0,0.0,0.0,0.0,0.0
